Time_slot:10-20, pid:36, arrival-time:10, remaining_time:0
Time_slot:20-30, pid:1023, arrival-time:10, remaining_time:150
Time_slot:30-40, pid:1023, arrival-time:10, remaining_time:140
Time_slot:40-50, pid:1023, arrival-time:10, remaining_time:130
Time_slot:50-90, pid:1023, arrival-time:10, remaining_time:90
Time_slot:90-100, pid:123, arrival-time:60, remaining_time:80
Time_slot:100-110, pid:13, arrival-time:70, remaining_time:90
Time_slot:110-120, pid:12, arrival-time:80, remaining_time:18
Time_slot:120-130, pid:123, arrival-time:60, remaining_time:70
Time_slot:130-140, pid:13, arrival-time:70, remaining_time:80
Time_slot:140-150, pid:12, arrival-time:80, remaining_time:8
Time_slot:150-160, pid:123, arrival-time:60, remaining_time:60
Time_slot:160-170, pid:13, arrival-time:70, remaining_time:70
Time_slot:170-178, pid:12, arrival-time:80, remaining_time:0
Time_slot:178-218, pid:1023, arrival-time:10, remaining_time:50
Time_slot:218-258, pid:123, arrival-time:60, remaining_time:20
Time_slot:258-298, pid:13, arrival-time:70, remaining_time:30
Time_slot:298-300, pid:123, arrival-time:60, remaining_time:18
Time_slot:300-310, pid:13, arrival-time:70, remaining_time:20
Time_slot:310-320, pid:123, arrival-time:60, remaining_time:8
Time_slot:320-330, pid:1023, arrival-time:10, remaining_time:40
Time_slot:330-340, pid:13, arrival-time:70, remaining_time:10
Time_slot:340-348, pid:123, arrival-time:60, remaining_time:0
Time_slot:348-358, pid:1023, arrival-time:10, remaining_time:30
Time_slot:358-368, pid:13, arrival-time:70, remaining_time:0
Time_slot:368-378, pid:1023, arrival-time:10, remaining_time:20
Time_slot:378-398, pid:1023, arrival-time:10, remaining_time:0
